Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	DSA Website	DSA Language	DSA targeting source	DSA page feeds	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Location type	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Image Size	Upgraded extension	Link source	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Source	Header	Snippet Values	Callout text	Phone Number	Country of Phone	Conversion Action	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の クリーニング	Phrase	103	103	113	7	Average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング ペット	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 クリーニング 嘔吐	Phrase	250	272	446	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 内装 掃除	Phrase	194	194	446	1	Below average	Below average	Below average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 嘔吐 クリーニング	Phrase	257			4	Below average	Average	Average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										シート ベルト 嘔吐 掃除	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										洗車 内装	Phrase	150	214	214		 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 ゲロ 掃除	Phrase	227	555	614	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 室内 清掃	Phrase	273	614	614	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 清掃 業者 おすすめ	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 専門 店 大阪	Broad	240	288	471	6	Average	Average	Average																																																												Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 嘔吐 臭い 消し	Phrase	162	288	359		 -	 -	 -																																																												Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 吐い た 掃除	Phrase	148	162	359		 -	 -	 -																																																												Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						800 x 800	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						640 x 640	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						1123 x 1123	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						775 x 775	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						1024 x 1024	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃																																																						960 x 960	[]	Automatically created																																																							Enabled	Enabled	Enabled	Approved		
