qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
4,Below average,Average,Average,Enabled,seat-cleaning,愛知県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/aichi/seat-cleaning/
4,Below average,Average,Average,Enabled,seat-cleaning,群馬県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/gunma/seat-cleaning/
4,Below average,Average,Average,Enabled,shanai-shoshu,兵庫県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/hyogo/shanai-shoshu/
4,Average,Below average,Average,Enabled,shanai-shoshu,愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 臭い,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 車内 清掃,
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 内装 掃除,
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 座席 クリーニング,
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 車内 清掃,
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング,
5,Below average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪,
5,Below average,Average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 清掃 業者,https://carinteriorcleaning.jp/regions/osaka-truck/
5,Below average,Average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング,https://carinteriorcleaning.jp/regions/osaka-truck/
5,Below average,Above average,Below average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング 専門 店,https://carinteriorcleaning.jp/regions/osaka-truck/
5,Below average,Average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 洗浄,https://carinteriorcleaning.jp/regions/osaka-truck/
5,Average,Below average,Above average,Enabled,chuko-tabako,千葉県＿車内クリーニング,中古車タバコ臭,中古車タバコ臭,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/
5,Average,Below average,Above average,Enabled,chuko-tabako,兵庫県＿車内クリーニング,中古車タバコ臭,中古車タバコ臭,https://carinteriorcleaning.jp/regions/hyogo/chuko-tabako/
5,Below average,Average,Above average,Enabled,evaporator-senjo,大阪府＿車内クリーニング,エアコン_エバポレーター,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/
5,Below average,Average,Above average,Enabled,evaporator-senjo,福岡県＿車内クリーニング,エアコン_エバポレーター,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/fukuoka/evaporator-senjo/
5,Below average,Average,Above average,Enabled,interior-cleaning,沖縄県＿車内クリーニング,int沖縄２515,沖縄 車内 清掃,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/
5,Average,Average,Below average,Enabled,interior-cleaning,愛知県＿車内クリーニング,int愛知_通常清掃,車内 クリーニング 専門 店 愛知,https://carinteriorcleaning.jp/regions/aichi/interior-cleaning/
5,Average,Average,Below average,Enabled,interior-cleaning,愛知県＿車内クリーニング,int愛知_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/aichi/interior-cleaning/
5,Below average,Above average,Below average,Enabled,interior-cleaning,福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/fukuoka/interior-cleaning/
5,Below average,Average,Above average,Enabled,interior-cleaning,大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃 プロ,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/
5,Below average,Average,Above average,Enabled,kuruma-nioitori,群馬県＿車内クリーニング,車の匂い取り,車の匂い取り,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioitori/
5,Average,Average,Below average,Enabled,kyuto-cleaning,福岡県＿車内クリーニング,車 嘔吐 クリーニング,車 クリーニング 福岡,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/
5,Average,Average,Below average,Enabled,kyuto-cleaning,沖縄県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 クリーニング,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/
5,Below average,Average,Above average,Enabled,kyuto-cleaning,千葉県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/
5,Below average,Average,Above average,Enabled,kyuto-cleaning,兵庫県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/hyogo/kyuto-cleaning/
5,Below average,Average,Above average,Enabled,kyuto-cleaning,福岡県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/
5,Average,Below average,Above average,Enabled,pet-nioi,大阪府＿車内クリーニング,車　 ペット臭,車 ペット臭,https://carinteriorcleaning.jp/regions/osaka/pet-nioi/
5,Average,Below average,Above average,Enabled,pet-nioi,福岡県＿車内クリーニング,車　 ペット臭,車 ペット臭,https://carinteriorcleaning.jp/regions/fukuoka/pet-nioi/
5,Below average,Average,Above average,Enabled,seat-cleaning,千葉県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/
5,Below average,Above average,Below average,Enabled,seat-senjo,沖縄県＿車内クリーニング,車シート 洗浄,車 シート 洗浄 おすすめ,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,大阪府＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/osaka/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,沖縄県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,宮城県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/miyagi/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,愛知県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/aichi/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,千葉県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/chiba/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,兵庫県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/hyogo/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,福岡県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/fukuoka/seat-senjo/
5,Below average,Average,Above average,Enabled,seat-senjo,栃木県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/tochigi/seat-senjo/
5,Below average,Above average,Below average,Enabled,shanai-shoshu,宮城県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,https://carinteriorcleaning.jp/regions/miyagi/shanai-shoshu/
5,Average,Below average,Above average,Enabled,shanai-shoshu,沖縄県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消臭,https://carinteriorcleaning.jp/regions/okinawa/shanai-shoshu/
5,Average,Below average,Above average,Enabled,shanai-shoshu,福岡県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/fukuoka/shanai-shoshu/
