campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
愛知県＿車内クリーニング,車シート クリーニング,車シート クリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/seat-cleaning/,Enabled
愛知県＿車内クリーニング,消臭_口語,車 消臭,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/,Enabled
千葉県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/chiba/car-ac-cleaning/,Enabled
千葉県＿車内クリーニング,車シート クリーニング,車 シート 丸洗い 業者,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/,Enabled
兵庫県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/hyogo/kyuto-cleaning/,Enabled
兵庫県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/hyogo/shanai-shoshu/,Enabled
兵庫県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/hyogo/car-ac-cleaning/,Enabled
福岡県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/,Enabled
群馬県＿車内クリーニング,車 エアコンクリーニング,車 エアコンクリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/car-ac-cleaning/,Enabled
群馬県＿車内クリーニング,車シート クリーニング,車シート クリーニング,Phrase,4,Below average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/seat-cleaning/,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 車内 清掃,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃 プロ,Phrase,5,Below average,Average,Above average,,Enabled
大阪府＿車内クリーニング,int大阪_通常清掃,車 座席 クリーニング,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 内装 掃除,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,int大阪_通常清掃,車 の 車内 清掃,Phrase,5,Below average,Average,Above average,,Paused
