severity,campaign,ad_group,path2,actual_theme,actual_slug,final_url,headline2,line
HIGH,宮城県＿車内クリーニング,車　 汗,嘔吐ニオイ清掃,汗,ase,https://carinteriorcleaning.jp/regions/miyagi/ase/,宮城府の車 汗クリーニング,164
HIGH,宮城県＿車内クリーニング,中古車タバコ臭,嘔吐ニオイ清掃,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/miyagi/chuko-tabako/,中古車タバコ臭クリーニング,165
HIGH,宮城県＿車内クリーニング,中古車加齢臭,嘔吐ニオイ清掃,中古車加齢臭,chuko-kareisyu,https://carinteriorcleaning.jp/regions/miyagi/chuko-kareisyu/,中古車加齢臭クリーニング,166
HIGH,宮城県＿車内クリーニング,車ペット毛,嘔吐ニオイ清掃,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/miyagi/pet-ke/,宮城府の車ペット毛クリーニング,167
HIGH,宮城県＿車内クリーニング,車 匂い 消し・消臭洗浄,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,170
HIGH,宮城県＿車内クリーニング,車　 おもらし,嘔吐ニオイ清掃,おもらし,omorashi,https://carinteriorcleaning.jp/regions/miyagi/omorashi/,宮城の車 おもらしくリーニング,171
HIGH,宮城県＿車内クリーニング,車　 エアコン臭い,嘔吐ニオイ清掃,エアコン臭い,ac-nioi,https://carinteriorcleaning.jp/regions/miyagi/ac-nioi/,車 エアコン臭いクリーニング,172
HIGH,宮城県＿車内クリーニング,車　加齢臭,嘔吐ニオイ清掃,加齢臭,kareisyu,https://carinteriorcleaning.jp/regions/miyagi/kareisyu/,宮城府の車 加齢臭クリーニング,173
HIGH,宮城県＿車内クリーニング,車　 ペット臭,嘔吐ニオイ清掃,ペット臭,pet-nioi,https://carinteriorcleaning.jp/regions/miyagi/pet-nioi/,宮城の車 ペット臭クリーニング,174
HIGH,宮城県＿車内クリーニング,車シート 洗浄,嘔吐ニオイ清掃,シート洗浄,seat-senjo,https://carinteriorcleaning.jp/regions/miyagi/seat-senjo/,宮城車シート 洗浄クリーニング,177
HIGH,宮城県＿車内クリーニング,車シート クリーニング,嘔吐ニオイ清掃,シートクリーニング,seat-cleaning,https://carinteriorcleaning.jp/regions/miyagi/seat-cleaning/,宮城車シート クリーニング,178
HIGH,宮城県＿車内クリーニング,車　 おしっこ,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,宮城の車 おしっこクリーニング,179
HIGH,宮城県＿車内クリーニング,車　 うんこ,嘔吐ニオイ清掃,うんこ,unko,https://carinteriorcleaning.jp/regions/miyagi/unko/,宮城府の車 うんこクリーニング,180
HIGH,宮城県＿車内クリーニング,車の匂い取り,嘔吐ニオイ清掃,匂い取り,kuruma-nioitori,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioitori/,宮城の車の匂い取りクリーニング,181
HIGH,宮城県＿車内クリーニング,車　 タバコの匂い汚れ・タバコのヤニ,嘔吐ニオイ清掃,タバコヤニ,tabako-yani,https://carinteriorcleaning.jp/regions/miyagi/tabako-yani/,車 タバコ匂い汚れクリーニング,182
HIGH,宮城県＿車内クリーニング,車内 灯油 こぼし,嘔吐ニオイ清掃,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/miyagi/pet-ke/,車内 灯油 こぼしクリーニング,183
HIGH,宮城県＿車内クリーニング,AG_緊急_嘔吐,ペットうんち,嘔吐,kyuto-cleaning,https://carinteriorcleaning.jp/regions/miyagi/kyuto-cleaning/,車 ゲロ 消臭 即日,186
HIGH,宮城県＿車内クリーニング,AG_緊急_嘔吐,嘔吐ニオイ清掃,出張専門,shutchou-senmon,https://carinteriorcleaning.jp/regions/miyagi/shutchou-senmon/,車 嘔吐 消臭 どこに 頼む,187
HIGH,宮城県＿車内クリーニング,AG_緊急_灯油,嘔吐ニオイ清掃,灯油,touyu-kobosi,https://carinteriorcleaning.jp/regions/miyagi/touyu-kobosi/,車 灯油 こぼし 出張,190
HIGH,宮城県＿車内クリーニング,AG_緊急_ペット,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,車 おしっこ シート 洗浄 出張,193
HIGH,宮城県＿車内クリーニング,AG_消臭_口語,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,車 匂い 消し 業者,196
HIGH,宮城県＿車内クリーニング,AG_消臭_口語,ペットうんち,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,車内 クサイ 消臭,197
HIGH,宮城県＿車内クリーニング,AG_消臭_中古車,ペットうんち,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/miyagi/chuko-tabako/,中古車 加齢臭 車内,200
HIGH,宮城県＿車内クリーニング,AG_消臭_湿気カビ,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/miyagi/shanai-nioi/,車内 カビ臭 取り方 業者,202
HIGH,宮城県＿車内クリーニング,AG_エアコン_エバポレーター,嘔吐ニオイ清掃,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/,エバポレーター洗浄 出張,205
HIGH,宮城県＿車内クリーニング,AG_条件_出張,嘔吐ニオイ清掃,出張専門,shutchou-senmon,https://carinteriorcleaning.jp/regions/miyagi/shutchou-senmon/,車内クリーニング 即日 出張,208
HIGH,宮城県＿車内クリーニング,AG_条件_電源不要,嘔吐ニオイ清掃,電源不要,dengen-fuyou,https://carinteriorcleaning.jp/regions/miyagi/dengen-fuyou/,車内清掃 電源不要 出張,210
HIGH,宮城県＿車内クリーニング,緊急_子供嘔吐,ペットうんち,子供嘔吐,kodomo-kyuto,https://carinteriorcleaning.jp/regions/miyagi/kodomo-kyuto/,車酔い 嘔吐 出張専門業者,220
HIGH,宮城県＿車内クリーニング,緊急_灯油,嘔吐ニオイ清掃,灯油,touyu-kobosi,https://carinteriorcleaning.jp/regions/miyagi/touyu-kobosi/,車内 灯油 こぼし 消臭,222
