qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
3,車内 クリーニング 大阪 安い,Paused,Below average,Average,Below average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車内 ゲロ 掃除,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車内 吐い た 掃除,Enabled,Below average,Below average,Above average,,int兵庫_通常清掃,兵庫県＿車内クリーニング,
3,車内 嘔吐 清掃,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,車 嘔吐 クリーニング,大阪府＿車内クリーニング,kyuto-cleaning
3,車内 嘔吐 清掃,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/miyagi/kyuto-cleaning/,車 嘔吐 クリーニング,宮城県＿車内クリーニング,kyuto-cleaning
3,車内 嘔吐 臭い 消し,Enabled,Average,Below average,Below average,,int福岡_通常清掃,福岡県＿車内クリーニング,
3,車内 嘔吐 臭い 消し,Enabled,Below average,Below average,Above average,,int群馬_通常清掃,群馬県＿車内クリーニング,
3,車内 掃除,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車内 掃除,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
3,車内 洗浄,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車内 消 臭 剤,Enabled,Below average,Below average,Above average,,車内 消臭・脱臭洗浄,大阪府＿車内クリーニング,
3,車内 消臭,Enabled,Average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/,消臭_口語,沖縄県＿車内クリーニング,kuruma-nioi-keshi
3,車内 消臭 脱臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,車内 消臭・脱臭洗浄,愛知県＿車内クリーニング,shanai-shoshu
3,車内 清掃,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車内 清掃,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
3,車内 脱臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,車内 消臭・脱臭洗浄,愛知県＿車内クリーニング,shanai-shoshu
3,車内 脱臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/,車内 消臭・脱臭洗浄,千葉県＿車内クリーニング,shanai-shoshu
3,車内 脱臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/shanai-shoshu/,車内 消臭・脱臭洗浄,福岡県＿車内クリーニング,shanai-shoshu
4,車 エアコンクリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/okinawa/car-ac-cleaning/,車 エアコンクリーニング,沖縄県＿車内クリーニング,car-ac-cleaning
4,車 エアコンクリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/car-ac-cleaning/,車 エアコンクリーニング,愛知県＿車内クリーニング,car-ac-cleaning
4,車 エアコンクリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/chiba/car-ac-cleaning/,車 エアコンクリーニング,千葉県＿車内クリーニング,car-ac-cleaning
4,車 エアコンクリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/hyogo/car-ac-cleaning/,車 エアコンクリーニング,兵庫県＿車内クリーニング,car-ac-cleaning
4,車 エアコンクリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/car-ac-cleaning/,車 エアコンクリーニング,群馬県＿車内クリーニング,car-ac-cleaning
4,車 ゲロ クリーニング,Paused,Below average,Average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
4,車 シート 丸洗い 業者,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/,車シート クリーニング,千葉県＿車内クリーニング,seat-cleaning
4,車 嘔吐 クリーニング,Paused,Below average,Average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
4,車 消臭,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/,消臭_口語,愛知県＿車内クリーニング,kuruma-nioi-keshi
4,車の匂い取り,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioitori/,車の匂い取り,愛知県＿車内クリーニング,kuruma-nioitori
4,車シート クリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,車シート クリーニング,大阪府＿車内クリーニング,seat-cleaning
4,車シート クリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/aichi/seat-cleaning/,車シート クリーニング,愛知県＿車内クリーニング,seat-cleaning
4,車シート クリーニング,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/gunma/seat-cleaning/,車シート クリーニング,群馬県＿車内クリーニング,seat-cleaning
4,車内 クリーニング 専門 店,Paused,Below average,Average,Average,,int大阪_通常清掃,大阪府＿車内クリーニング,
4,車内 クリーニング 専門 店 宮城,Enabled,Below average,Average,Average,,int宮城_通常清掃,宮城県＿車内クリーニング,
