qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
4,車内 嘔吐 清掃,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,車 嘔吐 クリーニング,沖縄県＿車内クリーニング,kyuto-cleaning
4,車内 嘔吐 清掃,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/hyogo/kyuto-cleaning/,車 嘔吐 クリーニング,兵庫県＿車内クリーニング,kyuto-cleaning
4,車内 嘔吐 清掃,Enabled,Below average,Average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/,車 嘔吐 クリーニング,福岡県＿車内クリーニング,kyuto-cleaning
4,車内 臭い,Enabled,Average,Below average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,車内 消臭・脱臭洗浄,愛知県＿車内クリーニング,shanai-shoshu
5,エアコン エバポレーター,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/,エアコン_エバポレーター,大阪府＿車内クリーニング,evaporator-senjo
5,エアコン エバポレーター,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/evaporator-senjo/,エアコン_エバポレーター,福岡県＿車内クリーニング,evaporator-senjo
5,中古車タバコ臭,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,中古車タバコ臭,千葉県＿車内クリーニング,chuko-tabako
5,中古車タバコ臭,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/hyogo/chuko-tabako/,中古車タバコ臭,兵庫県＿車内クリーニング,chuko-tabako
5,沖縄 車内 清掃,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,int沖縄２515,沖縄県＿車内クリーニング,interior-cleaning
5,車 の 車内 清掃,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車 クリーニング 嘔吐,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車 シート うんち,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/unko/,車　 うんこ,沖縄県＿車内クリーニング,unko
5,車 シート 洗浄 おすすめ,Enabled,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,車シート 洗浄,沖縄県＿車内クリーニング,seat-senjo
5,車 シート 臭い,Enabled,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/miyagi/shanai-shoshu/,車内 消臭・脱臭洗浄,宮城県＿車内クリーニング,shanai-shoshu
5,車 ペット臭,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/pet-nioi/,車　 ペット臭,大阪府＿車内クリーニング,pet-nioi
5,車 ペット臭,Enabled,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/pet-nioi/,車　 ペット臭,福岡県＿車内クリーニング,pet-nioi
5,車 内装 掃除,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車 座席 クリーニング,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車 清掃 業者,Paused,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
5,車 車内 清掃,Paused,Below average,Average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
5,車の匂い取り,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioitori/,車の匂い取り,群馬県＿車内クリーニング,kuruma-nioitori
5,車シート クリーニング,Enabled,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/chiba/seat-cleaning/,車シート クリーニング,千葉県＿車内クリーニング,seat-cleaning
